_id,ltable_id,rtable_id,ltable_title,ltable_year,rtable_title,rtable_year
849,656797,625107,space trucker bruce,2014,space trucker bruce,2014.0
850,657801,625818,speed sisters,2015,speed sisters,2015.0
851,661905,201144,star force 7: the chill of distant eyes,2015,sasha  the princess of darkness,2015.0
852,661905,350165,star force 7: the chill of distant eyes,2015,animal house of blues 33 1/3,2015.0
853,661905,427477,star force 7: the chill of distant eyes,2015,el making of del disc de la marató,2015.0
854,661905,503017,star force 7: the chill of distant eyes,2015,knight of cups,2015.0
855,661934,628160,star night at the cocoanut grove,1934,star night at the cocoanut grove,1934.0
856,662029,195885,star trek: the next generation - the unknown possibilities of existence: making all good things...,2014,risking it all,2014.0
857,662029,700076,star trek: the next generation - the unknown possibilities of existence: making all good things...,2014,top of the pops: the story of 1979,2014.0
858,664461,630443,stiff upper lips,1998,stiff upper lips,1998.0
859,664731,630640,still we believe: the boston red sox movie,2004,still we believe: the boston red sox movie,2004.0
860,664731,636185,still we believe: the boston red sox movie,2004,swades: we  the people,2004.0
861,667856,632580,strife with father,1950,strife with father,1950.0
