_id,ltable_id,rtable_id,ltable_title,ltable_year,rtable_title,rtable_year
818,631187,475582,shaheed: the story of a crpf cobra commando,2016,hounds of zaroff,2016.0
819,631995,611200,shannon street: echoes under a blood red moon,2016,shannon street: echoes under a blood red moon,2016.0
820,634943,168029,shin kankin t?b? 3: bishimai ? fukuj? no okite: gekij?-ban,2010,no me la puc treure del cap,2010.0
821,635968,129495,shivers down your spine: a christmas horror story,2014,kirsties handmade christmas,2014.0
822,635968,605268,shivers down your spine: a christmas horror story,2014,saving christmas,2014.0
823,635968,700076,shivers down your spine: a christmas horror story,2014,top of the pops: the story of 1979,2014.0
824,642024,616048,sing me the songs that say i love you: a concert for kate mcgarrigle,2012,sing me the songs that say i love you: a concert for kate mcgarrigle,2012.0
825,642873,652849,sir: just a normal guy,2002,the charlatans: just looking,2002.0
826,645072,604847,skrivesperre og kunstneriske ambisjoner & om en hund som m? b?te med livet p? grunn av summen av de to,2011,sau  de les tallades a la glòria,2011.0
827,645603,521108,slash: apocalyptic love - live in new york,2012,live to be a hundred,2012.0
828,645603,616048,slash: apocalyptic love - live in new york,2012,sing me the songs that say i love you: a concert for kate mcgarrigle,2012.0
829,645766,466467,slaves of new york,1989,heart of dixie,1989.0
830,645766,618427,slaves of new york,1989,slaves of new york,1989.0
831,645808,715750,slayer zed and the city of the dead,2004,wwe day of reckoning,2004.0
832,648505,251498,sneak out! late night tomfoolery for the early adolescent,2005,the late late show with craig ferguson,2005.0
833,648505,620025,sneak out! late night tomfoolery for the early adolescent,2005,sneak out! late night tomfoolery for the early adolescent,2005.0
834,649870,282829,sobre las olas: a history of flamenco in the u.s.,2013,the voice of the philippines,2013.0
835,649870,639815,sobre las olas: a history of flamenco in the u.s.,2013,tao of simon,2013.0
836,650267,620934,sof ha'olam smola,2004,sof haolam smola,2004.0
837,650325,565597,sofia shinas: one last kiss,1992,one false move,1992.0
838,650381,620952,soft drinks and sweet music,1934,soft drinks and sweet music,1934.0
839,650834,561888,solan og ludvig - jul i fl?klypa,2013,ohellige jul!,2013.0
840,652035,135168,some jerks: dark and dead of night,2014,late night with seth meyers,2014.0
841,652035,700076,some jerks: dark and dead of night,2014,top of the pops: the story of 1979,2014.0
842,652525,165947,something evil  something dangerous: new moon rising,2011,new girl,2011.0
843,652525,166106,something evil  something dangerous: new moon rising,2011,new girl,2011.0
844,653681,646060,song of eternity,1973,the age of ballyhoo,1973.0
845,653712,622756,song of russia,1944,song of russia,1944.0
846,655392,624107,soul in the hole,1997,soul in the hole,1997.0
847,655767,535707,soup of the day,2006,maxed out: hard times  easy credit and the era of predatory lenders,2006.0
848,655767,639266,soup of the day,2006,tales of the rat fink,2006.0
